,target,DGS1
2009-06-30,12500.0,1422.417263062933
2009-09-30,-6600.0,-1910.4325101633747
2010-03-31,3900.0,-1506.7700813071206
2010-06-30,-3400.0,-129.6703840872421
2010-09-30,4600.0,212.9774480498616
2011-03-31,2600.0,463.40977911319635
2012-03-31,17300.0,-164.4753570439128
2012-06-30,300.0,-1115.828951316539
2013-12-31,8800.0,793.5924340555484
2014-03-31,1600.0,-242.75763847269897
2014-06-30,12800.0,-140.96764761748577
2014-09-30,-7000.0,-2166.8799807621153
